date,time,line,notes,co2
2026-01-21,14:34,Central,Leyton to Stratford,556
2026-01-21,14:34,Central,Leyton to Stratford,657
2026-01-21,14:34,Central,Leyton to Stratford,667
2026-01-21,14:42,Mildmay,Stratford to Canonbury,595
2026-01-21,14:42,Mildmay,Stratford to Canonbury,656
2026-01-21,14:42,Mildmay,Stratford to Canonbury,696
2026-01-21,14:42,Mildmay,Stratford to Canonbury,753
2026-01-21,14:42,Mildmay,Stratford to Canonbury,706
2026-01-21,14:42,Mildmay,Stratford to Canonbury,754
2026-01-21,14:42,Mildmay,Stratford to Canonbury,731
2026-01-21,14:42,Mildmay,Stratford to Canonbury,562
2026-01-21,14:42,Mildmay,Stratford to Canonbury,745
2026-01-21,14:42,Mildmay,Stratford to Canonbury,795
2026-01-21,14:42,Mildmay,Stratford to Canonbury,707
2026-01-21,14:42,Mildmay,Stratford to Canonbury,631
2026-01-21,14:42,Mildmay,Stratford to Canonbury,556
2026-01-21,20:24,Mildmay,Canonbury to Stratford,1091
2026-01-21,20:24,Mildmay,Canonbury to Stratford,1229
2026-01-21,20:24,Mildmay,Canonbury to Stratford,1184
2026-01-21,20:24,Mildmay,Canonbury to Stratford,1254
2026-01-21,20:24,Mildmay,Canonbury to Stratford,1173
2026-01-21,20:24,Mildmay,Canonbury to Stratford,1069
2026-01-21,20:24,Mildmay,Canonbury to Stratford,1119
2026-01-21,20:24,Mildmay,Canonbury to Stratford,1060
2026-01-21,20:24,Mildmay,Canonbury to Stratford,1088
2026-01-21,20:24,Mildmay,Canonbury to Stratford,1033
2026-01-21,20:24,Mildmay,Canonbury to Stratford,1049
2026-01-21,20:24,Mildmay,Canonbury to Stratford,1056
2026-01-21,20:24,Mildmay,Canonbury to Stratford,1106
2026-01-21,20:36,bus,bus,639
2026-01-21,20:36,bus,bus,761
2026-01-21,20:36,bus,bus,877
2026-01-21,20:36,bus,bus,931
2026-01-21,20:36,bus,bus,937
2026-01-21,20:36,bus,bus,923
2026-01-21,20:36,bus,bus,924
2026-01-21,20:36,bus,bus,939
2026-01-21,20:36,bus,bus,988
